ZIP_CD,SERVICE_CD,SERVICE_TYPE_CD,PLACE_OF_SERVICE_CD,SERVICE_LOCATION_NBR,PROVIDER_TYPE_CD,SPECIALTY_CD,TAX_IDENTIFICATION_FORMAT_CD,NETWORK_ID,PROVIDER_IDENTIFICATION_NBR,NATIONAL_PROVIDER_ID
12203,87164,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,82252,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,88313,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,87335,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,83015,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,80418,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,85536,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,81005,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,85018,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,84830,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,81007,CPT4,11,3020165,PH,10401,E,10331,5028310,1114504313
12203,88372,CPT4,20,3020165,PH,10401,E,10331,5028310,1114504313
12203,85396,CPT4,21,3020165,PH,10401,E,10331,5028310,1114504313
12203,83050,CPT4,21,3020165,PH,10401,E,10331,5028310,1114504313
12203,85461,CPT4,21,3020165,PH,10401,E,10331,5028310,1114504313
12203,83605,CPT4,21,3020165,PH,10401,E,10331,5028310,1114504313
12203,82010,CPT4,21,3020165,PH,10401,E,10331,5028310,1114504313
12203,83051,CPT4,21,3020165,PH,10401,E,10331,5028310,1114504313
12203,87285,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,84578,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88185,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88319,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,82962,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,82938,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88362,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88342,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,85379,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,83633,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,86904,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88365,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,86817,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88172,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,83068,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,85576,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,85337,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,84703,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,86771,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,86682,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,84165,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88160,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,84220,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,87116,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88362,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88245,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,88307,CPT4,22,3020165,PH,10401,E,10331,5028310,1114504313
12203,82374,CPT4,65,3020165,PH,10401,E,10331,5028310,1114504313
12203,86023,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84545,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82103,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82030,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,87542,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82274,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,88267,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84481,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82172,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86723,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,87481,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86744,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86161,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86638,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,87338,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,83935,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82550,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84439,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84630,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82985,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86768,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84432,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86762,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84315,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,85048,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,87427,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86005,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,83520,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,85613,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86277,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,83718,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,87591,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,85307,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,87800,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84300,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,80069,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82495,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,83527,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84135,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82775,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84210,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,87075,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86720,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,80424,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86717,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82261,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,87798,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,84550,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,80188,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,88141,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,86140,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,80178,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,87472,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
12203,82679,CPT4,81,3020165,PH,10401,E,10331,5028310,1114504313
