ZIP_CD,SERVICE_CD,SERVICE_TYPE_CD,PLACE_OF_SERVICE_CD,SERVICE_LOCATION_NBR,PROVIDER_TYPE_CD,SPECIALTY_CD,TAX_IDENTIFICATION_FORMAT_CD,NETWORK_ID,PROVIDER_IDENTIFICATION_NBR,NATIONAL_PROVIDER_ID
46545,00756,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01140,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01958,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00561,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00176,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00211,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01962,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01969,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00542,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00604,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00866,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00562,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01232,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01842,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01212,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00212,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00474,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01772,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01967,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00500,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00864,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00732,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01210,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01951,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00218,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00770,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00844,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,01924,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
46545,00350,ASA,21,6552942,PH,10312,E,13087,7743431,1720081490
